name|team|pa|hr|r|rbi|sb|so|avg|obp|slg
Mike Trout|LAA|15|2|4|3|1|1|0.556|0.733|1.222
Shea Langeliers|ATH|9|3|3|6|0|2|0.625|0.667|1.75
Chase DeLauter|CLE|14|4|5|5|0|5|0.357|0.357|1.214
Jake Burger|TEX|9|2|2|4|0|4|0.556|0.556|1.222
Andres Gimenez|TOR|9|0|0|4|1|0|0.75|0.778|1.0
Joey Wiemer|WSN|4|1|2|1|0|0|1.0|1.0|2.0
Munetaka Murakami|CHW|8|2|2|2|0|1|0.4|0.625|1.6
Sal Stewart|CIN|9|1|1|2|0|0|0.625|0.667|1.25
Chase Meidroth|CHW|8|1|1|1|0|1|0.5|0.625|1.167
Corey Seager|TEX|9|1|2|1|0|3|0.5|0.556|0.875
Jonathan Aranda|TBR|11|1|2|2|0|2|0.429|0.545|0.857
Giancarlo Stanton|NYY|12|1|2|2|0|3|0.5|0.5|0.75
Luis Robert Jr.|NYM|10|1|2|5|0|1|0.375|0.5|0.75
Brendan Donovan|SEA|13|1|2|1|1|3|0.364|0.462|0.727
Nolan Schanuel|LAA|15|2|2|4|0|4|0.308|0.4|0.769
Ramon Laureano|SDP|12|1|1|2|1|2|0.417|0.417|0.75
Kevin McGonigle|DET|13|0|2|4|0|3|0.417|0.462|0.583
Liam Hicks|MIA|4|1|1|3|0|0|0.5|0.5|2.0
Javier Sanoja|MIA|3|0|0|1|0|0|1.0|1.0|1.0
Alex Freeland|LAD|4|1|2|1|0|0|0.5|0.5|1.5
Miguel Amaya|CHC|4|1|2|2|0|1|0.5|0.5|1.25
Luke Raley|SEA|10|3|3|5|0|3|0.333|0.4|1.333
Dominic Canzone|SEA|8|2|3|2|0|0|0.286|0.375|1.143
Brice Turang|MIL|10|0|2|0|0|1|0.556|0.6|0.889
Michael Harris II|ATL|8|1|2|3|0|2|0.5|0.5|0.875
Michael Busch|CHC|10|0|3|1|0|0|0.5|0.6|0.75
Brandon Lowe|PIT|9|2|2|3|0|1|0.333|0.333|1.0
Francisco Alvarez|NYM|8|1|2|1|0|1|0.333|0.5|0.833
Rhys Hoskins|CLE|8|0|1|0|0|2|0.5|0.625|0.667
Owen Caissie|MIA|8|0|1|2|1|2|0.5|0.5|0.75
Royce Lewis|MIN|7|1|2|2|1|1|0.2|0.429|0.8
Austin Riley|ATL|8|0|1|0|0|2|0.571|0.625|0.571
Christian Yelich|MIL|10|0|3|2|1|2|0.556|0.6|0.556
Joey Ortiz|MIL|7|0|2|3|2|1|0.571|0.571|0.571
Wilyer Abreu|BOS|9|1|1|2|0|1|0.333|0.333|0.778
Colt Keith|DET|11|0|2|0|0|2|0.444|0.545|0.556
Will Smith|LAD|11|2|2|5|0|1|0.273|0.273|0.818
Dillon Dingler|DET|10|1|1|4|0|2|0.333|0.4|0.667
Oswald Peraza|LAA|12|1|2|2|0|5|0.364|0.417|0.636
Garrett Mitchell|MIL|9|0|2|3|2|1|0.4|0.625|0.4
Elly De La Cruz|CIN|10|1|1|1|0|4|0.25|0.4|0.625
Cody Bellinger|NYY|13|0|2|0|0|2|0.364|0.462|0.545
Victor Scott II|STL|8|0|2|0|2|1|0.5|0.5|0.5
Geraldo Perdomo|ARI|12|1|1|2|1|2|0.333|0.333|0.667
Roman Anthony|BOS|11|0|1|1|0|3|0.444|0.545|0.444
Brayan Rocchio|CLE|11|0|3|2|0|1|0.286|0.545|0.429
JJ Wetherholt|STL|10|1|2|4|1|1|0.333|0.3|0.667
Pete Crow-Armstrong|CHC|10|0|2|2|2|3|0.444|0.5|0.444
David Hamilton|MIL|9|0|3|1|3|0|0.25|0.625|0.25
Manny Machado|SDP|12|0|1|0|0|2|0.25|0.5|0.375
Kyle Higashioka|TEX|1|0|1|0|0|0|1.0|1.0|1.0
Luis Torrens|NYM|1|0|0|1|0|0|1.0|1.0|1.0
Ryan Mountcastle|BAL|1|0|0|0|0|0|1.0|1.0|1.0
Mark Vientos|NYM|1|0|0|0|0|0|1.0|1.0|1.0
Andres Chaparro|WSN|4|0|1|0|0|0|0.667|0.75|1.0
Victor Robles|SEA|3|0|0|1|1|0|0.667|0.667|1.0
Alec Burleson|STL|9|1|3|4|1|0|0.571|0.556|1.0
Nick Fortes|TBR|6|0|1|2|0|0|0.667|0.667|0.667
Jac Caglianone|KCR|4|0|0|0|0|1|0.5|0.5|0.75
Dominic Smith|ATL|4|1|1|4|0|1|0.25|0.25|1.0
Matt McLain|CIN|10|0|1|1|0|1|0.429|0.6|0.571
Jesus Sanchez|TOR|3|0|2|1|0|0|0.5|0.667|0.5
Marcelo Mayer|BOS|7|0|2|0|0|3|0.429|0.429|0.714
Junior Caminero|TBR|10|0|2|0|0|1|0.4|0.7|0.4
Ozzie Albies|ATL|8|1|2|1|0|0|0.286|0.375|0.714
T.J. Rumfield|COL|8|1|1|1|0|1|0.286|0.375|0.714
Ryan O'Hearn|PIT|10|1|2|1|0|1|0.333|0.4|0.667
Yordan Alvarez|HOU|14|1|2|1|0|3|0.273|0.429|0.636
Carson Benge|NYM|8|1|2|1|1|4|0.167|0.375|0.667
Connor Norby|MIA|8|0|0|0|0|1|0.333|0.5|0.5
Miguel Rojas|LAD|6|0|1|0|0|1|0.5|0.5|0.5
Mike Yastrzemski|ATL|4|0|0|1|0|0|0.5|0.5|0.5
Carlos Narvaez|BOS|7|0|1|0|0|1|0.5|0.5|0.5
Jeremiah Jackson|BAL|4|0|0|1|0|1|0.5|0.5|0.5
Ben Williamson|TBR|6|0|2|1|0|0|0.5|0.5|0.5
Adley Rutschman|BAL|8|0|0|0|0|1|0.333|0.5|0.5
Joey Loperfido|HOU|7|0|1|0|0|1|0.429|0.429|0.571
Ernie Clement|TOR|10|0|1|1|0|0|0.4|0.4|0.6
David Fry|CLE|5|0|0|0|0|3|0.4|0.4|0.6
Jake Mangum|PIT|5|0|1|0|0|0|0.4|0.4|0.6
Brandon Marsh|PHI|8|0|0|2|0|2|0.375|0.375|0.625
Byron Buxton|MIN|8|0|2|0|0|2|0.375|0.375|0.625
Alec Bohm|PHI|9|1|2|3|0|0|0.25|0.333|0.625
Brady House|WSN|9|1|3|2|0|4|0.25|0.333|0.625
Carson Kelly|CHC|5|0|0|1|0|0|0.333|0.6|0.333
Vladimir Guerrero Jr.|TOR|10|0|1|1|0|0|0.333|0.6|0.333
Christian Walker|HOU|12|0|1|1|0|1|0.3|0.417|0.5
Sal Frelick|MIL|9|1|2|2|0|2|0.143|0.333|0.571
Drake Baldwin|ATL|9|1|2|1|0|1|0.143|0.333|0.571
Nick Gonzales|PIT|10|0|1|3|0|4|0.4|0.4|0.5
Henry Davis|PIT|5|0|0|1|0|0|0.25|0.4|0.5
Jake Bauers|MIL|10|1|3|3|0|4|0.3|0.3|0.6
Kazuma Okamoto|TOR|10|0|2|0|0|3|0.375|0.5|0.375
Matt Olson|ATL|8|0|1|0|0|5|0.375|0.375|0.5
Salvador Perez|KCR|8|1|1|1|0|0|0.25|0.25|0.625
Ezequiel Tovar|COL|8|1|1|2|0|2|0.25|0.25|0.625
Chandler Simpson|TBR|7|0|2|1|0|1|0.429|0.429|0.429
Yandy Diaz|TBR|11|0|1|1|0|1|0.4|0.455|0.4
Jorge Soler|LAA|15|1|1|2|0|5|0.182|0.4|0.455
Victor Caratini|MIN|4|0|0|0|0|0|0.333|0.5|0.333
Agustin Ramirez|MIA|8|0|1|0|1|0|0.333|0.5|0.333
Jorge Polanco|NYM|10|0|2|1|0|1|0.2|0.6|0.2
Jeremy Pena|HOU|5|0|1|0|1|0|0.4|0.4|0.4
Randy Arozarena|SEA|13|0|4|0|1|1|0.222|0.462|0.333
