name|barrel_pct|hard_hit_pct|woba|xwoba
Nolan Gorman|6.5|41.6|.295|.291
Brett Sullivan|0|30.6|.328|.270
Troy Johnston|2.5|40.5|.373|.322
Christian Koss|0|18.2|.107|.108
Luis García Jr.|5.8|45.3|.274|.314
Keibert Ruiz|4.2|37.5|.223|.198
Colton Cowser|10|40|.230|.273
Tyler Tolbert|0|50|.181|.224
Will Smith|11.8|36.8|.326|.360
Weston Wilson|12.5|50|.403|.432
Drew Gilbert|5.7|34.3|.325|.266
Andrew Vaughn|0|0|.226|.224
Isiah Kiner-Falefa|3.6|17.9|.233|.283
Braxton Fulford|0|66.7|.596|.115
Ryan Ward|0|0|.301|.299
James Outman|0|26.3|.175|.187
Yohendrick Pinango|0|50|.475|.382
Steven Kwan|1|11.8|.286|.290
Oneil Cruz|21.5|62|.355|.358
Owen Caissie|11.8|45.1|.254|.275
Jacob Wilson|1.7|30.5|.304|.271
Eugenio Suárez|8.2|19.7|.300|.273
Dominic Canzone|17.3|51.9|.363|.376
Kyle Karros|7.2|39.1|.287|.353
Matt Wallner|9.3|44.4|.264|.291
Dalton Rushing|15.2|51.5|.533|.436
Austin Wynns|7.4|25.9|.121|.310
Kyle Isbel|6.7|31.7|.345|.311
Victor Caratini|4.4|32.4|.271|.335
Nick Yorke|5.6|50|.286|.329
Gary Sánchez|14.9|40.4|.397|.405
Edmundo Sosa|5.4|40.5|.322|.345
Andruw Monasterio|8.3|47.2|.303|.343
Bryce Harper|13.5|38.5|.371|.390
Chase DeLauter|8.6|39.1|.391|.375
Andrés Chaparro|14.3|57.1|.289|.489
Jake Meyers|13.3|33.3|.317|.340
Jarred Kelenic|||.354|.354
Matt Vierling|3.6|39.3|.275|.292
Darell Hernaiz|0|25.7|.316|.266
Myles Straw|4.5|27.3|.317|.337
Kyle Farmer|0|27.3|.307|.285
Scott Kingery|0|0|.226|.156
Royce Lewis|12.8|44.7|.289|.304
Brady House|12.2|41.9|.291|.300
TJ Rumfield|8.1|38.4|.328|.336
Carlos Santana|0|43.8|.138|.188
Nicky Lopez|0|50|.000|.161
JJ Wetherholt|9.3|44.3|.367|.356
Max Muncy|12.3|56.1|.315|.303
Taylor Walls|0|17.8|.271|.240
Daniel Schneemann|11.3|42.3|.407|.361
Connor Wong|3.1|40.6|.323|.284
Jared Oliva|0|66.7|.129|.308
Spencer Steer|15.5|39.4|.346|.369
Alejandro Osuna|0|22.2|.445|.400
Trevor Larnach|9.6|30.8|.377|.360
Geraldo Perdomo|3.6|26.5|.343|.325
Javier Sanoja|1.8|33.9|.335|.268
