name|team|pos|pa|hr|r|rbi|sb|so|avg|obp|slg|war
Aaron Judge|NYY|OF|644|43|111|111|9|158|285|418|588|73
Bobby Witt Jr.|KCR|SS|679|29|104|95|33|117|288|344|512|67
Cal Raleigh|SEA|C|637|41|88|103|8|171|230|330|494|64
Shohei Ohtani|LAD|DH|679|48|129|119|26|164|282|385|599|61
Juan Soto|NYM|OF|686|38|114|102|23|120|272|411|528|61
Gunnar Henderson|BAL|SS|672|29|102|89|23|141|273|354|490|60
Julio Rodríguez|SEA|OF|686|32|96|101|26|151|270|330|477|59
Fernando Tatis Jr.|SDP|SS/OF|672|30|102|90|25|131|270|358|482|54
Ronald Acuña Jr.|ATL|OF|651|31|115|84|26|133|286|393|512|54
Francisco Lindor|NYM|SS|630|26|94|78|22|115|261|337|452|50
Mookie Betts|LAD|OF|651|24|95|90|9|77|274|358|468|49
Kyle Tucker|LAD|OF|651|33|101|99|22|95|268|370|505|49
José Ramírez|CLE|3B|679|29|95|96|32|80|273|347|484|49
Alejandro Kirk|TOR|C|495|15|52|63|1|60|272|350|422|49
Vladimir Guerrero Jr.|TOR|1B|679|34|98|105|5|92|294|379|521|48
Corbin Carroll|ARI|OF|630|27|100|88|33|132|259|347|494|48
Elly De La Cruz|CIN|SS|672|25|97|89|41|173|262|338|459|47
Geraldo Perdomo|ARI|SS|686|15|96|72|23|88|266|363|408|47
Pete Crow-Armstrong|CHC|OF|644|26|88|92|34|155|254|303|456|47
Junior Caminero|TBR|3B|665|39|89|116|6|127|270|323|513|46
Ketel Marte|ARI|2B|637|27|94|86|6|104|274|359|487|46
Patrick Bailey|SFG|C|525|11|53|53|3|137|228|291|349|46
William Contreras|MIL|C|610|20|80|77|6|116|270|358|440|45
Wyatt Langford|TEX|OF|644|25|90|80|22|145|257|349|453|45
Trea Turner|PHI|SS|644|19|92|73|28|118|283|334|442|44
Yordan Alvarez|HOU|DH/OF|560|30|83|85|3|97|294|391|545|44
Corey Seager|TEX|SS|567|26|77|78|3|103|268|354|479|44
Bo Bichette|NYM|SS|658|19|81|86|6|107|291|338|447|44
Matt Chapman|SFG|3B|672|27|89|84|9|165|242|336|439|43
Jackson Merrill|SDP|OF|630|24|82|84|7|121|270|321|462|43
Zach Neto|LAA|SS|665|28|94|85|28|159|255|325|459|43
Adley Rutschman|BAL|C/DH|566|19|68|68|1|89|255|340|426|40
Willy Adames|SFG|SS|679|27|85|87|12|166|236|321|422|40
Nico Hoerner|CHC|2B/SS|665|9|79|65|27|62|281|336|387|40
Gabriel Moreno|ARI|C|456|11|54|56|4|77|279|351|421|39
