name|team|role|ip|w|sv|hld|era|whip|so|hr|qs|gs|g|war
Tarik Skubal|DET|SP|2000|14|0|0|267|981|245|19|22|32|32|63
Garrett Crochet|BOS|SP|1970|15|0|0|290|1083|245|20|21|32|32|58
Paul Skenes|PIT|SP|1890|13|0|0|284|1067|223|17|21|32|32|54
Cristopher Sánchez|PHI|SP|2000|12|0|0|321|1161|193|18|20|32|32|48
Logan Webb|SFG|SP|2020|14|0|0|318|1168|191|16|20|32|32|45
Cole Ragans|KCR|SP|1630|11|0|0|340|1165|202|17|17|29|29|41
Chris Sale|ATL|SP|1650|12|0|0|315|1103|200|18|18|28|28|40
Max Fried|NYY|SP|1890|14|0|0|332|1180|176|17|19|31|31|39
Hunter Brown|HOU|SP|1830|13|0|0|334|1188|197|19|19|31|31|38
Sonny Gray|BOS|SP|1780|12|0|0|372|1214|186|21|17|31|31|37
Jacob deGrom|TEX|SP|1690|11|0|0|350|1083|188|23|17|29|29|37
Dylan Cease|TOR|SP|1730|12|0|0|357|1210|203|20|18|31|31|37
Framber Valdez|DET|SP|1950|13|0|0|341|1240|180|17|19|31|31|36
Yoshinobu Yamamoto|LAD|SP|1550|12|0|0|338|1112|165|17|16|26|26|36
Bryan Woo|SEA|SP|1950|13|0|0|346|1081|197|25|19|32|32|35
Zack Wheeler|PHI|SP|1570|11|0|0|331|1107|171|18|16|26|26|35
Jesús Luzardo|PHI|SP|1790|12|0|0|378|1193|197|23|17|31|31|35
Ranger Suarez|BOS|SP|1690|12|0|0|361|1269|149|17|17|29|29|34
George Kirby|SEA|SP|1730|12|0|0|352|1112|170|21|18|31|31|33
Joe Ryan|MIN|SP|1670|11|0|0|379|1117|183|24|16|29|29|31
Shane McClanahan|TBR|SP|1390|9|0|0|333|1142|150|16|14|24|24|31
Aaron Nola|PHI|SP|1800|11|0|0|412|1210|177|26|16|31|31|31
Logan Gilbert|SEA|SP|1630|10|0|0|341|1087|178|21|17|29|29|31
Kevin Gausman|TOR|SP|1820|12|0|0|388|1231|177|24|17|31|31|30
Nathan Eovaldi|TEX|SP|1730|10|0|0|378|1184|164|22|16|29|29|29
Brandon Woodruff|MIL|SP|1510|10|0|0|374|1153|160|21|15|28|28|29
Michael King|SDP|SP|1610|10|0|0|368|1245|170|20|16|29|29|29
Kyle Bradish|BAL|SP|1370|8|0|0|362|1205|145|15|15|26|26|29
MacKenzie Gore|TEX|SP|1600|11|0|0|382|1244|182|19|16|29|29|29
Drew Rasmussen|TBR|SP|1600|10|0|0|364|1180|144|18|17|31|31|29
José Soriano|LAA|SP|1760|11|0|0|386|1359|164|15|17|31|31|29
Spencer Strider|ATL|SP|1590|11|0|0|385|1207|187|20|15|28|28|28
Sandy Alcantara|MIA|SP|1880|11|0|0|408|1258|156|21|16|31|31|27
Blake Snell|LAD|SP|1320|10|0|0|355|1244|164|15|14|24|24|27
Andrew Abbott|CIN|SP|1660|9|0|0|417|1271|151|25|15|29|29|27
Freddy Peralta|NYM|SP|1620|11|0|0|383|1218|177|21|16|29|29|26
Tyler Glasnow|LAD|SP|1330|8|0|0|368|1197|155|17|13|24|24|26
Nick Pivetta|SDP|SP|1730|10|0|0|392|1169|190|27|16|29|29|26
Tanner Bibee|CLE|SP|1820|11|0|0|390|1234|170|24|17|31|31|25
Kris Bubic|KCR|SP|1450|10|0|1|375|1280|140|16|12|24|34|25
Jack Flaherty|DET|SP|1600|11|0|0|401|1268|176|21|15|29|29|25
Chase Burns|CIN|SP|1150|8|0|1|374|1170|133|16|11|21|29|25
Matthew Boyd|CHC|SP|1670|11|0|0|389|1226|149|22|16|29|29|24
Nick Lodolo|CIN|SP|1530|9|0|0|413|1202|156|21|14|28|28|24
Brady Singer|CIN|SP|1710|10|0|0|438|1297|162|25|15|31|31|24
Mitch Keller|PIT|SP|1750|10|0|0|419|1297|152|22|16|31|31|23
Luis Castillo|SEA|SP|1790|11|0|0|382|1208|167|24|17|31|31|23
Yusei Kikuchi|LAA|SP|1690|9|0|0|421|1342|173|25|15|31|31|23
Shohei Ohtani|LAD|SP|1160|8|0|0|351|1133|138|15|13|23|23|23
Mason Miller|SDP|RP|660|4|32|2|243|963|106|6|0|0|66|23
Carlos Rodón|NYY|SP|1550|11|0|0|400|1242|163|21|15|28|28|23
Emmet Sheehan|LAD|SP|1430|9|0|1|397|1199|162|20|11|24|42|23
Ryan Pepiot|TBR|SP|1690|11|0|0|405|1232|173|24|16|31|31|23
David Peterson|NYM|SP|1630|9|0|0|385|1350|146|16|16|29|29|23
Eury Pérez|MIA|SP|1350|8|0|0|404|1206|145|19|14|28|28|23
Joe Musgrove|SDP|SP|1580|9|0|0|389|1215|145|20|15|28|28|23
Steven Matz|TBR|SP|1380|7|0|1|395|1269|122|17|11|23|37|22
Reid Detmers|LAA|SP|1450|9|0|1|408|1254|159|19|11|24|34|22
Jhoan Duran|PHI|RP|700|7|29|3|267|1099|84|4|0|0|70|21
Michael Wacha|KCR|SP|1640|10|0|0|431|1298|128|22|14|29|29|21
Bailey Ober|MIN|SP|1550|8|0|0|432|1223|140|25|14|28|28|21
Clay Holmes|NYM|SP|1530|10|0|0|389|1368|125|13|15|28|28|21
Zac Gallen|ARI|SP|1820|13|0|0|403|1280|170|23|16|31|31|21
Grayson Rodriguez|LAA|SP|1220|7|0|0|395|1255|128|16|12|23|23|21
Casey Mize|DET|SP|1450|9|0|0|405|1267|129|19|14|28|28|21
Gerrit Cole|NYY|SP|1360|8|0|0|393|1188|135|19|12|23|23|21
Gavin Williams|CLE|SP|1680|10|0|0|385|1309|172|21|17|31|31|21
Merrill Kelly|ARI|SP|1590|10|0|0|394|1273|141|21|15|28|28|21
Trevor Rogers|BAL|SP|1420|9|0|0|408|1310|122|17|13|26|26|21
Braxton Ashcraft|PIT|RP|1510|9|0|1|383|1282|133|16|11|23|47|20
Shane Smith|CHW|SP|1600|8|0|0|419|1284|150|21|15|29|29|20
