name|team|ip|w|sv|hld|era|whip|so|hr|qs|gs|g
Garrett Crochet|BOS|205.1|18|0|0|2.59|1.029|255|24|22|32|32
Tarik Skubal|DET|195.1|13|0|0|2.21|0.892|241|18|21|31|31
Logan Webb|SFG|207|15|0|0|3.22|1.237|224|14|22|34|34
Jesús Luzardo|PHI|183.2|15|0|0|3.92|1.223|216|16|18|32|32
Paul Skenes|PIT|187.2|10|0|0|1.97|0.951|216|11|20|32|32
Dylan Cease|SDP|168|8|0|0|4.55|1.327|215|21|8|32|32
Cristopher Sánchez|PHI|202|13|0|0|2.5|1.064|212|12|22|32|32
Hunter Brown|HOU|185.1|12|0|0|2.43|1.026|206|17|21|31|31
Freddy Peralta|MIL|176.2|17|0|0|2.7|1.078|204|21|13|33|33
Carlos Rodón|NYY|195.1|18|0|0|3.09|1.051|203|22|18|33|33
Sonny Gray|STL|180.2|14|0|0|4.28|1.238|201|25|14|32|32
Yoshinobu Yamamoto|LAD|173.2|12|0|0|2.49|0.993|201|14|18|30|30
Bryan Woo|SEA|186.2|15|0|0|2.94|0.929|198|26|21|30|30
Zack Wheeler|PHI|149.2|10|0|0|2.71|0.938|195|19|16|24|24
Joe Ryan|MIN|171|13|0|0|3.42|1.035|194|26|14|30|31
Nick Pivetta|SDP|181.2|13|0|0|2.87|0.988|190|22|19|31|31
Max Fried|NYY|195.1|19|0|0|2.86|1.102|189|14|20|32|32
Kevin Gausman|TOR|193|10|0|0|3.59|1.062|189|21|16|32|32
Jack Flaherty|DET|161|8|0|0|4.64|1.280|188|23|10|31|31
Framber Valdez|HOU|192|13|0|0|3.66|1.245|187|15|20|31|31
Robbie Ray|SFG|182.1|11|0|0|3.65|1.214|186|22|16|32|32
Jacob deGrom|TEX|172.2|12|0|0|2.97|0.923|185|26|14|30|30
MacKenzie Gore|WSN|159.2|5|0|0|4.17|1.357|185|20|14|30|30
Shane Baz|TBR|166.1|10|0|0|4.87|1.337|176|26|11|31|31
Zac Gallen|ARI|192|13|0|0|4.83|1.260|175|31|15|33|33
Yusei Kikuchi|LAA|178.1|7|0|0|3.99|1.426|174|24|11|33|33
Logan Gilbert|SEA|131|6|0|0|3.44|1.031|173|20|8|25|25
Gavin Williams|CLE|167.2|12|0|0|3.06|1.274|173|23|14|31|31
Will Warren|NYY|162.1|9|0|0|4.44|1.376|171|22|6|33|33
Merrill Kelly|2 Tms|184|12|0|0|3.52|1.114|167|23|18|32|32
Ryan Pepiot|TBR|167.2|11|0|0|3.86|1.166|167|26|14|31|31
Chris Bassitt|TOR|170.1|11|0|0|3.96|1.329|166|22|11|31|32
Chris Sale|ATL|125.2|7|0|0|2.58|1.070|165|11|11|20|21
Brady Singer|CIN|169.2|14|0|0|4.03|1.241|163|19|15|32|32
Luis Castillo|SEA|180.2|11|0|0|3.54|1.188|162|23|18|32|32
Tanner Bibee|CLE|182.1|12|0|0|4.24|1.230|162|27|12|31|31
Nick Lodolo|CIN|156.2|9|0|0|3.33|1.082|156|22|14|28|29
Matthew Boyd|CHC|179.2|14|0|0|3.21|1.094|154|19|17|31|31
José Soriano|LAA|169|10|0|0|4.26|1.396|152|12|15|31|31
Ranger Suárez|PHI|157.1|12|0|0|3.2|1.222|151|14|17|26|26
Mitch Keller|PIT|176.1|6|0|0|4.19|1.261|150|21|17|32|32
David Peterson|NYM|168.2|9|0|0|4.22|1.373|150|11|15|30|30
Edward Cabrera|MIA|137.2|8|0|0|3.53|1.232|150|17|7|26|26
Charlie Morton|3 Tms|142|9|0|0|5.83|1.577|149|23|9|27|33
Andrew Abbott|CIN|166.1|10|0|0|2.87|1.150|149|19|11|29|29
Jack Leiter|TEX|151.2|10|0|0|3.86|1.283|148|18|10|29|29
Brandon Pfaadt|ARI|176.2|13|0|0|5.25|1.334|147|26|12|33|33
Shane Smith|CHW|146.1|7|0|0|3.81|1.198|145|17|7|29|29
Eduardo Rodriguez|ARI|154.1|9|0|0|5.02|1.544|143|25|9|29|29
Sandy Alcantara|MIA|174.2|11|0|0|5.36|1.274|142|22|12|31|31
Dean Kremer|BAL|171.2|11|0|0|4.19|1.215|142|22|9|29|31
Casey Mize|DET|149|14|0|0|3.87|1.268|139|21|9|28|28
José Berríos|TOR|166|9|0|0|4.17|1.301|138|26|14|30|31
Jeffrey Springs|ATH|171|11|0|0|4.11|1.211|138|28|14|30|32
Justin Verlander|SFG|152|4|0|0|3.85|1.362|137|16|12|29|29
George Kirby|SEA|126|10|0|0|4.21|1.190|137|15|12|23|23
Sean Burke|CHW|134.1|4|0|0|4.22|1.447|133|23|5|22|28
Hunter Greene|CIN|107.2|7|0|0|2.76|0.942|132|15|11|19|19
Quinn Priester|MIL|157.1|13|0|0|3.32|1.241|132|18|9|24|29
