name|team|ip|w|sv|hld|era|whip|so|hr|qs
Jason Adam|SDP|1.7|0|1|1|0.0|0.6|0|0|0
Jalen Beeks|TEX|6.7|1|0|2|0.0|1.05|4|0|0
Matt Brash|SEA|6.0|1|0|2|0.0|0.67|4|0|0
Huascar Brazobán|NYM|8.3|1|0|0|0.0|0.72|6|0|0
Duncan Davitt|CHW|1.0|0|0|0|0.0|1.0|0|0|0
Dylan Dodd|ATL|3.0|0|1|0|0.0|0.33|2|0|0
Lazaro Estrada|TOR|4.0|0|0|0|0.0|0.5|3|0|0
Ryan Fernandez|STL|1.7|0|0|0|0.0|2.4|2|0|0
Kyle Finnegan|DET|6.7|0|0|2|0.0|1.5|3|0|0
Rico Garcia|BAL|9.0|1|1|4|0.0|0.33|10|0|0
Joey Gerber|NYM|2.0|0|0|0|0.0|1.5|5|0|0
Ryan Gusto|MIA|1.0|0|0|1|0.0|0.0|1|0|0
DL Hall|MIL|8.3|0|0|1|0.0|1.2|10|0|0
Austin Hedges|CLE|0.3|0|0|0|0.0|0.0|0|0|0
Tim Herrin|CLE|3.7|0|0|0|0.0|1.36|3|0|0
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0
Tyler Holton|DET|6.3|0|0|1|0.0|0.95|5|0|0
Raisel Iglesias|ATL|6.7|0|3|0|0.0|0.45|7|0|0
Jakob Junis|TEX|8.0|0|3|2|0.0|0.5|6|0|0
Craig Kimbrel|NYM|2.0|0|0|0|0.0|1.0|2|0|0
John King|MIA|5.0|1|0|1|0.0|0.6|5|0|0
Jared Koenig|MIL|2.3|0|0|1|0.0|2.14|4|0|0
Christian Koss|SFG|1.0|0|0|0|0.0|0.0|0|0|0
Joel Kuhnel|ATH|3.3|0|2|1|0.0|0.3|1|0|0
Riley Martin|CHC|4.3|0|0|0|0.0|0.46|4|0|0
Easton McGee|MIL|1.0|0|0|0|0.0|1.0|0|0|0
Mason Miller|SDP|8.3|1|5|0|0.0|0.24|20|0|0
Dylan Moore|PHI|0.7|0|0|0|0.0|1.5|0|0|0
David Morgan|SDP|10.3|2|0|0|0.0|1.16|10|0|0
Eli Morgan|KCR|5.0|0|1|0|0.0|0.8|6|0|0
Riley O'Brien|STL|9.3|2|4|1|0.0|0.43|9|0|0
Shohei Ohtani|LAD|12.0|1|0|0|0.0|0.75|8|0|2
Daniel Palencia|CHC|5.0|1|1|0|0.0|1.0|5|0|0
Mitchell Parker|WSH|2.0|1|0|0|0.0|1.0|5|0|0
Orlando Ribalta|WSH|1.0|0|0|0|0.0|0.0|0|0|0
Ethan Roberts|CHC|2.7|0|0|0|0.0|0.38|2|0|0
Tyler Rogers|TOR|8.7|1|0|2|0.0|1.04|5|0|0
Ryan Rolison|CHC|1.0|0|0|0|0.0|1.0|0|0|0
JoJo Romero|STL|9.0|0|0|4|0.0|1.0|5|0|0
Tyler Samaniego|BOS|3.7|0|0|0|0.0|0.82|4|0|0
Tony Santillan|CIN|8.0|1|0|6|0.0|1.0|10|0|0
Jesse Scholtens|TBR|4.7|0|0|0|0.0|1.07|4|0|0
Antonio Senzatela|COL|12.3|0|1|1|0.0|0.57|15|0|0
Chase Shugart|PHI|2.0|0|0|0|0.0|1.5|3|0|0
Evan Sisk|PIT|2.0|0|0|0|0.0|1.0|3|0|0
Justin Slaten|BOS|3.3|0|0|2|0.0|1.2|5|0|0
Ryan Thompson|ARI|7.7|0|0|4|0.0|0.65|5|0|0
Tyler Tolbert|KCR|0.7|0|0|0|0.0|1.5|0|0|0
Blake Treinen|LAD|5.7|1|0|3|0.0|0.88|5|0|0
Walbert Urena|LAA|1.7|0|0|1|0.0|4.8|2|0|0
Louis Varland|TOR|10.3|1|0|2|0.0|0.97|15|0|0
Alex Vesia|LAD|7.3|0|2|3|0.0|0.68|9|0|0
Devin Williams|NYM|5.0|0|2|0|0.0|1.4|7|0|0
Cole Winn|TEX|7.7|1|1|3|0.0|1.04|7|0|0
Brandon Young|BAL|5.0|1|0|0|0.0|0.8|2|0|0
José Soriano|LAA|27.0|4|0|0|0.33|0.67|31|1|4
Michael Wacha|KCR|21.0|2|0|0|0.43|0.71|17|1|3
Parker Messick|CLE|17.7|2|0|0|0.51|0.91|16|1|2
Chad Patrick|MIL|12.3|1|0|0|0.73|1.38|7|1|0
Hunter Brown|HOU|10.7|1|0|0|0.84|1.03|17|0|1
Tyler Phillips|MIA|10.7|0|1|0|0.84|1.03|12|0|0
Tyler Alexander|TEX|9.3|0|2|1|0.96|1.18|9|0|0
Braydon Fisher|TOR|9.3|0|0|2|0.96|0.75|12|1|0
Bradgley Rodriguez|SDP|9.3|0|0|1|0.96|1.07|10|0|0
Bryce Elder|ATL|17.7|1|0|0|1.02|1.02|16|1|2
