name|pa|ab|h|hr|r|rbi|sb|so|bb|hbp|sf|x1b|x2b|x3b
Joey Wiemer|17|13|8|2|5|4|0|2|4|0|0|5|0|1
Yordan Alvarez|28|21|8|3|6|6|1|4|6|1|0|3|2|0
Sal Stewart|22|16|9|2|4|3|0|3|6|0|0|4|3|0
Brendan Donovan|26|21|9|2|4|4|1|6|3|2|0|6|1|0
Jose Altuve|27|19|7|2|7|3|1|4|8|0|0|4|1|0
Brandon Lowe|22|18|6|3|3|4|0|3|4|0|0|2|1|0
Shea Langeliers|21|20|7|4|4|7|0|8|1|0|0|3|0|0
Ryan O'Hearn|23|19|8|2|3|6|0|3|4|0|0|6|0|0
Andres Gimenez|20|18|8|1|1|5|2|2|2|0|0|6|0|1
Mike Trout|29|20|6|2|5|3|2|6|9|0|0|4|0|0
Giancarlo Stanton|20|20|10|1|2|4|0|4|0|0|0|7|2|0
Wilyer Abreu|20|20|8|2|2|5|0|3|0|0|0|3|3|0
Munetaka Murakami|22|18|5|3|5|4|0|7|4|0|0|2|0|0
Jonathan Aranda|25|20|7|2|4|5|0|5|4|0|1|4|1|0
Corey Seager|24|18|6|2|5|4|0|5|5|0|1|4|0|0
Yandy Diaz|25|24|11|1|4|6|0|4|1|0|0|9|1|0
Drake Baldwin|22|19|5|3|5|3|0|2|3|0|0|2|0|0
Chandler Simpson|19|18|8|0|3|1|2|2|1|0|0|7|0|1
Kazuma Okamoto|23|20|6|2|4|3|0|9|3|0|0|4|0|0
Cam Smith|25|19|4|1|5|1|1|5|5|1|0|2|1|0
Jose Fernandez|4|4|3|2|2|4|0|1|0|0|0|1|0|0
Gary Sanchez|8|6|3|2|3|3|0|3|2|0|0|1|0|0
Liam Hicks|14|11|4|2|4|8|0|1|1|1|1|1|1|0
Andrew McCutchen|11|11|5|1|2|4|0|3|0|0|0|2|2|0
Jesus Sanchez|16|13|6|1|4|4|0|1|2|1|0|5|0|0
Griffin Conine|11|10|4|1|3|2|1|2|1|0|0|2|1|0
Owen Caissie|18|15|6|1|3|6|1|4|2|0|1|3|2|0
Max Muncy|15|11|4|1|3|1|0|3|4|0|0|3|0|0
T.J. Rumfield|20|18|8|1|3|3|0|5|2|0|0|6|1|0
Jake Burger|23|22|9|2|5|6|0|10|0|1|0|6|1|0
Chase DeLauter|23|22|6|4|5|5|0|7|1|0|0|2|0|0
Brice Turang|23|20|8|0|4|3|2|5|3|0|0|4|4|0
Ramon Laureano|15|14|5|1|1|2|1|4|1|0|0|3|1|0
Ian Happ|23|19|4|3|4|5|0|7|4|0|0|1|0|0
Oswald Peraza|19|17|6|1|2|2|1|6|2|0|0|4|1|0
Luis Robert Jr.|19|15|5|1|3|5|0|2|4|0|0|4|0|0
Colt Keith|20|18|7|0|4|2|0|6|2|0|0|4|3|0
Daylen Lile|24|22|9|0|5|3|0|3|2|0|0|6|3|0
Jordan Walker|20|17|5|1|6|3|0|3|3|0|0|2|2|0
Jake Bauers|19|19|6|2|5|4|2|5|0|0|0|4|0|0
Victor Scott II|18|16|7|0|3|0|2|6|0|0|0|6|1|0
Cole Young|22|21|7|1|3|4|0|7|1|0|0|4|2|0
Xavier Edwards|21|19|8|0|5|0|1|2|1|0|0|7|1|0
Brandon Nimmo|24|22|8|1|6|4|1|4|1|1|0|7|0|0
Adley Rutschman|17|14|4|0|1|1|0|2|3|0|0|1|3|0
Brandon Lockridge|16|15|6|0|4|3|1|2|1|0|0|5|1|0
Kevin McGonigle|21|18|6|0|4|5|0|3|3|0|0|4|2|0
Cody Bellinger|21|18|6|0|4|0|1|3|3|0|0|5|0|1
Zach Neto|29|23|4|2|6|3|1|6|6|0|0|1|1|0
JJ Wetherholt|23|20|6|1|4|4|1|3|2|0|1|5|0|0
Randy Arozarena|26|20|5|0|6|2|1|2|5|1|0|3|2|0
Rafael Marchan|4|3|1|1|1|2|0|0|0|1|0|0|0|0
Javier Sanoja|8|8|5|0|1|1|0|1|0|0|0|4|1|0
Dominic Canzone|13|11|3|2|4|2|0|1|1|1|0|0|1|0
Miguel Amaya|7|7|3|1|2|2|0|1|0|0|0|2|0|0
Luke Raley|15|14|4|3|3|6|0|6|1|0|0|1|0|0
Rhys Hoskins|14|10|4|0|1|1|0|5|4|0|0|2|2|0
Francisco Alvarez|13|10|3|1|3|1|0|2|2|1|0|1|1|0
Jonny DeLuca|14|13|5|1|4|4|0|2|1|0|0|3|1|0
Kyle Isbel|10|10|4|1|1|2|2|2|0|0|0|3|0|0
Dillon Dingler|14|12|4|1|2|5|0|4|1|1|0|2|1|0
Mike Yastrzemski|14|13|5|0|1|1|0|1|1|0|0|3|1|1
Nick Fortes|17|16|6|1|2|4|0|1|1|0|0|4|1|0
Christian Walker|24|21|7|0|3|6|0|4|3|0|0|2|5|0
Ben Rice|17|14|5|0|4|3|0|3|3|0|0|3|2|0
Mauricio Dubon|15|14|6|0|0|5|0|4|1|0|0|5|1|0
Royce Lewis|14|12|2|2|3|3|1|5|1|1|0|0|0|0
Christian Yelich|19|17|6|1|4|5|1|5|2|0|0|5|0|0
Corbin Carroll|21|18|5|1|4|7|0|4|2|0|1|2|1|1
Juan Soto|24|21|8|0|1|4|0|4|3|0|0|6|2|0
Hunter Goodman|21|20|7|1|4|2|0|5|1|0|0|5|1|0
Danny Jansen|13|13|4|1|1|4|0|4|0|0|0|2|1|0
Vladimir Guerrero Jr.|22|16|6|0|2|2|0|1|6|0|0|6|0|0
