name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|avg|obp|slg
Elias Díaz|KCR|4|0|0|0|0|0|0|2|4|0|0.5|0.5|0.75
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0.478|0.5|0.652
Dalton Rushing|LAD|31|7|10|13|0|8|1|12|29|0|0.414|0.452|1.207
Eloy Jiménez|TOR|26|0|2|3|0|4|3|9|22|1|0.409|0.462|0.409
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0.4|0.4|1.0
Billy Cook|PIT|8|0|5|0|2|2|0|3|8|0|0.375|0.375|0.375
Miguel Rojas|LAD|43|1|4|3|0|6|3|14|38|1|0.368|0.405|0.5
Moisés Ballesteros|CHC|55|3|9|11|0|10|5|18|49|1|0.367|0.418|0.592
Ildemaro Vargas|ARI|69|5|14|16|0|9|2|24|66|0|0.364|0.382|0.697
Joey Wiemer|WSH|52|3|11|6|1|18|7|16|45|0|0.356|0.442|0.644
Andy Pages|LAD|94|5|13|21|4|24|7|30|85|1|0.353|0.404|0.576
Juan Soto|NYM|38|1|3|5|0|6|4|12|34|0|0.353|0.421|0.5
Javier Sanoja|MIA|58|0|1|9|2|6|4|19|54|0|0.352|0.397|0.407
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0.35|0.391|0.45
Yordan Alvarez|HOU|118|11|20|26|1|11|19|33|95|1|0.347|0.466|0.779
Dominic Smith|ATL|58|4|10|17|0|7|2|19|55|1|0.345|0.362|0.6
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0.345|0.424|0.448
Christian Vázquez|HOU|41|2|6|10|0|8|5|12|35|0|0.343|0.425|0.629
Yandy Díaz|TBR|108|3|13|18|1|14|10|32|94|0|0.34|0.426|0.489
Vladimir Guerrero Jr.|TOR|103|2|13|12|1|13|13|30|89|0|0.337|0.427|0.461
Luis Campusano|SDP|39|2|7|7|0|9|3|12|36|0|0.333|0.385|0.667
Andrés Chaparro|WSH|7|0|1|0|0|2|1|2|6|0|0.333|0.429|0.5
Kyle Farmer|ATL|7|0|1|3|0|0|0|2|6|1|0.333|0.286|0.5
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|0.333|0.4|0.556
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0.333|0.333|0.333
Xavier Edwards|MIA|108|1|18|7|2|13|13|31|94|0|0.33|0.411|0.457
Carlos Cortes|ATH|58|2|6|7|0|4|6|17|52|0|0.327|0.397|0.519
Leody Taveras|BAL|62|2|9|14|1|13|9|17|52|0|0.327|0.426|0.5
Ryan O'Hearn|PIT|92|4|11|16|1|15|12|25|77|2|0.325|0.413|0.519
Colt Keith|DET|74|0|11|6|0|15|3|23|71|0|0.324|0.351|0.423
Chandler Simpson|TBR|104|0|12|5|7|7|4|31|96|1|0.323|0.347|0.365
Myles Straw|TOR|35|1|11|3|0|3|3|10|31|0|0.323|0.382|0.452
Kevin McGonigle|DET|104|1|18|11|1|13|14|29|90|0|0.322|0.413|0.5
Liam Hicks|MIA|87|4|14|21|1|5|5|25|78|2|0.321|0.368|0.513
Drake Baldwin|ATL|115|7|26|23|0|20|10|33|103|0|0.32|0.391|0.563
Ernie Clement|TOR|101|0|8|6|1|7|1|32|100|0|0.32|0.327|0.42
Nico Hoerner|CHC|112|4|16|22|7|12|10|31|97|2|0.32|0.393|0.515
Jorge Mateo|ATL|24|1|8|3|1|8|2|7|22|0|0.318|0.375|0.5
Adley Rutschman|BAL|43|1|4|5|0|7|5|12|38|0|0.316|0.395|0.553
Otto Lopez|MIA|101|3|19|11|4|18|6|29|92|1|0.315|0.366|0.511
Ben Rice|NYY|90|8|21|18|1|26|18|22|70|1|0.314|0.456|0.743
Christian Yelich|MIL|56|1|10|10|3|14|5|16|51|0|0.314|0.375|0.451
Jose Fernandez|ARI|69|2|13|9|1|16|2|21|67|0|0.313|0.333|0.433
MJ Melendez|NYM|18|1|2|2|0|8|2|5|16|0|0.313|0.389|0.625
Corbin Carroll|ARI|92|3|17|17|4|24|14|24|77|1|0.312|0.413|0.61
Austin Martin|MIN|63|1|11|5|2|10|15|14|45|1|0.311|0.492|0.444
Carson Kelly|CHC|69|2|9|10|0|12|11|18|58|0|0.31|0.42|0.466
Daniel Schneemann|CLE|66|2|10|11|1|19|8|18|58|0|0.31|0.394|0.517
Miguel Andujar|SDP|55|0|5|2|1|10|2|16|52|0|0.308|0.345|0.423
Nick Loftin|KCR|16|0|3|3|0|1|3|4|13|0|0.308|0.438|0.462
