name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Jackson Chourio|MIL|5|0|1|0|0|0|1|4|4|0|0|2|0|1.0|1.0|1.5
Yohendrick Piñango|TOR|19|0|1|3|0|1|1|9|18|0|0|1|0|0.5|0.526|0.556
Sebastián Rivero|LAA|6|0|0|0|0|1|0|3|6|0|0|0|0|0.5|0.5|0.5
Daniel Susac|SFG|24|0|1|5|0|3|1|11|23|0|0|2|1|0.478|0.5|0.652
Tyler Black|MIL|23|0|2|7|0|5|1|9|22|0|0|4|0|0.409|0.435|0.591
Braxton Fulford|COL|5|1|2|2|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Carlos Cortes|ATH|84|4|10|13|0|7|8|29|75|0|1|5|1|0.387|0.452|0.64
Ildemaro Vargas|ARI|108|6|19|21|0|11|4|39|102|0|0|6|2|0.382|0.406|0.657
Elias Díaz|KCR|12|1|2|3|0|1|1|4|11|0|0|2|0|0.364|0.417|0.818
Jarred Kelenic|CHW|12|0|0|0|0|1|1|4|11|0|0|0|0|0.364|0.417|0.364
Jared Young|NYM|23|0|2|2|0|3|2|7|20|1|0|2|0|0.35|0.391|0.45
Taylor Trammell|HOU|33|0|4|4|1|9|4|10|29|0|0|1|1|0.345|0.424|0.448
Dominic Smith|ATL|73|4|11|17|0|9|3|23|67|1|1|2|0|0.343|0.375|0.552
Ben Rice|NYY|134|12|30|27|2|32|23|37|108|2|1|9|0|0.343|0.455|0.759
Dalton Rushing|LAD|57|7|13|17|0|15|4|17|50|0|3|2|0|0.34|0.421|0.8
Otto Lopez|MIA|145|3|23|15|5|28|6|46|136|1|2|8|2|0.338|0.372|0.493
Shea Langeliers|ATH|146|10|24|18|0|32|12|45|134|0|0|9|0|0.336|0.39|0.627
Yordan Alvarez|HOU|162|12|26|27|1|19|22|45|135|1|4|9|0|0.333|0.438|0.667
Billy Cook|PIT|12|0|5|0|2|4|0|4|12|0|0|0|0|0.333|0.333|0.333
Xavier Edwards|MIA|149|2|23|11|4|15|19|43|129|0|0|7|2|0.333|0.419|0.465
Kyle Farmer|ATL|13|0|2|3|0|2|0|4|12|1|0|1|0|0.333|0.308|0.417
Aramis Garcia|ARI|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Austin Martin|MIN|95|1|11|7|4|15|20|24|72|1|2|4|0|0.333|0.484|0.431
Mickey Moniak|COL|111|11|19|21|1|27|7|34|102|1|1|7|1|0.333|0.378|0.745
Ryan Ward|LAD|6|0|0|1|0|1|0|2|6|0|0|0|0|0.333|0.333|0.333
Ozzie Albies|ATL|155|8|28|23|0|18|12|46|139|3|1|8|0|0.331|0.381|0.561
Vladimir Guerrero Jr.|TOR|149|2|21|16|2|18|17|43|130|0|2|7|0|0.331|0.416|0.431
