name|ip|w|sv|hld|so|hr|er|h|bb|tbf
Cameron Schlittler|11.2|2|0|0|15|0|0|3|0|38
Kevin Gausman|12.0|0|0|0|21|1|1|3|0|40
Sandy Alcantara|16.0|2|0|0|12|0|0|7|2|56
Cristopher Sanchez|11.1|1|0|0|17|0|1|7|4|45
Hunter Brown|10.2|1|0|0|17|0|1|5|6|43
Max Fried|13.1|2|0|0|10|0|0|5|2|48
Tarik Skubal|13.0|1|0|0|9|1|1|9|0|47
Lance McCullers Jr.|7.0|1|0|0|9|0|1|4|1|24
Dylan Cease|5.1|0|0|0|12|0|1|3|2|22
Bryan Woo|6.0|0|0|0|9|0|2|4|1|23
Joe Ryan|9.1|0|0|0|10|0|5|10|2|39
Jose Soriano|12.0|2|0|0|11|0|0|4|6|45
Trevor Rogers|13.0|2|0|0|8|0|2|9|5|51
Seth Lugo|6.1|1|0|0|3|0|0|5|0|24
Michael Soroka|5.0|1|0|0|10|0|0|4|1|20
Emerson Hancock|6.0|1|0|0|9|0|0|0|1|19
Parker Messick|6.0|1|0|0|5|0|0|5|0|20
Andrew Painter|5.1|1|0|0|8|0|1|4|1|21
Jhoan Duran|3.2|1|2|0|6|0|1|4|0|14
Garrett Crochet|11.0|1|0|0|15|1|4|9|2|47
Nick Pivetta|8.0|1|0|0|12|0|6|8|5|37
Matthew Boyd|9.1|1|0|0|17|1|7|8|3|37
Michael Wacha|6.0|0|0|0|7|0|0|3|1|20
Luis Castillo|6.0|0|0|0|7|0|0|2|2|21
Pete Fairbanks|3.0|0|2|0|5|0|0|1|0|10
Ryan Weathers|4.1|0|0|0|7|0|1|4|2|19
Tyler Glasnow|6.0|0|0|0|6|0|2|4|1|23
Joe Boyle|6.0|0|0|0|4|0|2|3|0|21
Kodai Senga|6.0|0|0|0|9|0|2|4|3|25
Carmen Mlodzinski|4.1|0|0|0|8|0|2|6|0|20
Reid Detmers|4.2|0|0|0|9|0|3|6|0|21
Logan Gilbert|10.2|0|0|0|13|1|8|12|3|44
Yohan Ramirez|4.2|1|0|0|7|0|0|1|2|16
Rico Garcia|2.1|1|0|0|4|0|0|0|0|7
Riley O'Brien|4.1|1|1|1|4|0|0|4|0|16
Edward Cabrera|6.0|1|0|0|5|0|0|1|1|19
Randy Vasquez|6.0|1|0|0|8|0|0|2|3|23
Bryce Elder|6.0|1|0|0|5|0|0|5|1|23
Landen Roupp|6.0|1|0|0|7|0|0|2|2|21
Chase Burns|5.0|1|0|0|7|0|0|1|3|19
Noah Cameron|5.0|1|0|0|5|0|1|4|1|20
Jeff Hoffman|4.0|1|1|0|10|1|1|3|0|16
Gavin Williams|12.0|1|0|0|17|1|3|4|9|45
Eric Lauer|5.1|1|0|0|9|1|2|3|1|20
Logan Webb|11.0|1|0|0|12|0|9|12|5|51
Brooks Raley|3.0|0|0|1|4|0|0|1|0|10
Antonio Senzatela|4.2|0|0|1|6|0|0|2|1|17
Jimmy Herget|3.0|0|1|0|3|0|0|2|0|11
Mitch Keller|6.0|0|0|0|3|0|0|3|0|21
Ryan Helsley|2.0|0|2|0|4|0|0|2|0|9
Michael McGreevy|6.0|0|0|0|5|0|0|0|2|21
Framber Valdez|6.0|0|0|0|5|0|1|7|1|25
Connelly Early|5.1|0|0|0|6|0|1|5|2|21
Taj Bradley|4.1|0|0|0|9|0|1|3|3|19
Graham Ashcraft|4.0|0|0|2|8|0|1|2|2|16
Kyle Freeland|9.1|0|0|0|8|0|3|10|3|43
Andrew Abbott|11.2|0|0|0|9|1|4|12|4|48
Janson Junk|4.1|0|0|0|5|0|2|5|1|19
Erick Fedde|5.0|0|0|0|4|0|3|6|1|21
Max Meyer|5.0|0|0|0|5|0|3|5|2|23
Sean Burke|4.0|0|0|0|5|0|3|7|1|20
