name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Mason Barnett|ATH|2.0|0|0|0|0.0|1.5|1|0|0|0|1|2|0|9
Tristan Beck|SFG|3.0|0|0|0|0.0|0.67|1|0|0|0|2|0|0|11
Ty Blach|CHC|3.0|0|0|0|0.0|0.33|2|0|0|0|1|0|0|9
Mason Black|KCR|4.7|0|0|0|0.0|1.93|5|0|0|0|7|2|0|22
Matt Brash|SEA|13.3|3|0|5|0.0|0.6|11|0|0|0|6|2|1|47
Carlos Carrasco|ATL|2.3|0|0|0|0.0|0.43|2|0|0|0|1|0|0|8
Gerrit Cole|NYY|6.0|0|0|0|0.0|0.83|2|0|1|0|2|3|0|22
Carlos Cortes|ATH|1.0|0|0|0|0.0|2.0|0|0|0|0|1|1|0|5
Yovanny Cruz|NYY|2.3|0|0|0|0.0|0.43|3|0|0|0|1|0|1|9
Nick Davila|SEA|6.3|0|0|1|0.0|1.11|3|0|0|0|3|4|0|24
Duncan Davitt|CHW|1.0|0|0|0|0.0|1.0|0|0|0|0|0|1|0|3
Daniel Duarte|NYM|2.3|0|0|0|0.0|0.43|1|0|0|0|1|0|0|7
Jose Espada|BAL|1.0|0|0|0|0.0|2.0|0|0|0|0|2|0|0|4
Lazaro Estrada|TOR|4.0|0|0|0|0.0|0.5|3|0|0|0|0|2|0|14
Alec Gamboa|BOS|1.0|0|0|0|0.0|0.0|2|0|0|0|0|0|0|3
Joey Gerber|NYM|2.0|0|0|0|0.0|1.5|5|0|0|0|2|1|0|9
Domingo Gonzalez|SEA|5.7|0|0|0|0.0|1.41|5|0|0|0|5|3|0|24
Tyron Guerrero|BOS|1.0|0|0|0|0.0|1.0|1|0|0|0|0|1|0|4
Ryan Gusto|MIA|1.0|0|0|1|0.0|0.0|1|0|0|0|0|0|0|3
Austin Hedges|CLE|0.3|0|0|0|0.0|0.0|0|0|0|0|0|0|0|1
Sam Hentges|SFG|4.7|0|0|1|0.0|1.07|5|0|0|0|1|4|0|19
Jonathan Hernández|LAD|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
P.J. Higgins|CIN|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Raisel Iglesias|ATL|15.7|0|8|0|0.0|0.7|19|0|0|0|8|3|0|56
William Kempner|MIA|1.0|0|0|0|0.0|0.0|1|0|0|0|0|0|0|3
Jared Koenig|MIL|2.3|0|0|1|0.0|2.14|4|0|0|0|3|2|0|13
Brooks Kriske|ATH|2.7|0|0|0|0.0|1.13|2|0|0|0|2|1|0|11
Adam Macko|TOR|3.0|1|0|1|0.0|0.67|3|0|0|0|2|0|0|11
Jorge Mateo|ATL|1.0|0|0|0|0.0|1.0|0|0|0|0|1|0|0|4
Yuki Matsui|SDP|10.0|0|0|0|0.0|1.1|12|0|0|0|5|6|0|39
Chayce McDermott|LAD|1.0|0|0|0|0.0|1.0|1|0|0|0|1|0|0|4
Easton McGee|MIL|2.0|0|0|0|0.0|1.0|1|0|0|0|1|1|0|6
Reese McGuire|CHW|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Victor Mederos|ATL|2.0|0|0|0|0.0|0.5|0|0|0|0|0|1|0|6
Anthony Molina|ATL|2.0|0|0|0|0.0|0.5|0|0|0|0|0|1|0|6
Nate Pearson|HOU|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Eduardo Rivera|BOS|3.3|0|0|0|0.0|0.3|3|0|0|0|1|0|0|10
Jake Rogers|DET|1.3|0|0|0|0.0|1.5|1|0|0|0|2|0|0|6
Yacksel Ríos|CHC|1.7|0|0|0|0.0|0.0|2|0|0|0|0|0|0|5
Javier Sanoja|MIA|1.0|0|0|0|0.0|1.0|1|0|0|0|1|0|0|4
Dylan Smith|SFG|0.7|0|0|0|0.0|1.5|0|0|0|0|0|1|0|3
Brock Stewart|LAD|2.0|0|0|1|0.0|0.5|3|0|0|0|0|1|0|7
Hunter Stratton|ATL|1.0|0|0|0|0.0|1.0|1|0|0|0|1|0|0|3
Garrett Stubbs|PHI|1.0|0|0|0|0.0|0.0|0|0|0|0|0|0|0|3
Brett Sullivan|COL|1.0|0|0|0|0.0|1.0|0|0|0|0|0|1|0|3
Tyler Tolbert|KCR|0.7|0|0|0|0.0|1.5|0|0|0|0|1|0|0|2
Jonah Tong|NYM|3.0|0|0|0|0.0|0.33|2|0|0|0|0|1|0|9
Logan VanWey|HOU|2.0|0|0|0|0.0|0.5|3|0|0|0|1|0|0|7
Vince Velasquez|CHC|2.3|0|0|0|0.0|0.43|1|0|0|0|1|0|0|8
Aroldis Chapman|BOS|17.7|0|12|0|0.51|0.85|23|0|0|1|8|7|1|68
Kyle Hurt|LAD|14.0|0|0|2|0.64|0.79|17|0|0|1|9|2|1|52
Louis Varland|TOR|27.7|2|7|3|0.65|1.08|40|0|0|2|21|9|0|109
Shohei Ohtani|LAD|49.0|4|0|0|0.73|0.84|54|2|7|4|28|13|3|190
Mason Miller|SDP|22.7|1|15|0|0.79|0.84|45|0|0|2|10|9|0|87
Ethan Roberts|CHC|11.3|0|0|0|0.79|0.88|7|0|0|1|4|6|2|42
Robert Suarez|ATL|22.3|4|4|6|0.81|0.9|20|1|0|2|15|5|0|86
Hunter Brown|HOU|10.7|1|0|0|0.84|1.03|17|0|1|1|5|6|0|43
Rico Garcia|BAL|21.3|3|3|8|0.84|0.56|26|1|0|2|5|7|0|75
Trey Yesavage|TOR|25.3|2|0|0|1.07|1.07|29|0|2|3|19|8|1|101
Jason Adam|SDP|16.7|2|1|10|1.08|0.96|7|1|0|2|11|5|1|66
Tyler Samaniego|BOS|16.3|0|0|1|1.1|1.22|13|1|0|2|13|7|2|69
Dylan Lee|ATL|24.3|2|0|8|1.11|0.62|29|0|0|3|12|3|0|88
Antonio Senzatela|COL|32.0|4|3|2|1.13|0.78|26|1|0|4|17|8|1|118
Brandyn Garcia|ARI|7.7|0|0|3|1.17|0.91|7|0|0|1|5|2|1|29
Tyler Phillips|MIA|30.0|0|2|0|1.2|1.27|27|1|0|4|22|16|1|128
Joel Peguero|SFG|7.0|0|0|0|1.29|0.71|2|0|0|1|3|2|2|26
Spencer Arrighetti|HOU|41.0|6|0|0|1.32|1.2|40|1|3|6|24|25|6|175
Tanner Scott|LAD|19.7|1|4|4|1.37|0.61|20|2|0|3|9|3|0|70
Zebby Matthews|MIN|13.0|1|0|0|1.38|0.77|11|1|2|2|9|1|0|48
Brooks Raley|NYM|19.3|1|0|8|1.4|1.09|23|1|0|3|13|8|1|80
Yennier Cano|BAL|19.0|1|0|4|1.42|0.53|15|1|0|3|7|3|1|66
Bradgley Rodriguez|SDP|24.3|0|0|3|1.48|0.95|20|0|0|4|17|6|0|96
Carl Edwards Jr.|NYM|6.0|0|0|0|1.5|1.17|11|1|0|1|3|4|0|25
Kyle Finnegan|DET|24.0|1|1|5|1.5|1.54|15|2|0|4|19|18|0|100
Colin Holderman|CLE|18.0|2|0|1|1.5|0.72|21|1|0|3|9|4|0|68
Cam Schlittler|NYY|66.0|6|0|0|1.5|0.86|75|2|7|11|44|13|0|253
Nick Martinez|TBR|59.7|4|0|0|1.51|1.11|36|4|6|10|54|12|2|242
Chase Shugart|PHI|17.7|2|0|0|1.53|0.91|18|2|0|3|12|4|3|68
DL Hall|MIL|23.3|0|0|3|1.54|1.16|26|1|0|4|10|17|1|94
Tyler Rogers|TOR|23.3|1|1|9|1.54|1.07|15|0|0|4|17|8|0|94
Bryan Hudson|CHW|23.0|2|2|2|1.57|1.35|23|0|0|4|21|10|3|99
Ryan Fernandez|STL|5.7|1|0|0|1.59|1.59|9|0|0|1|7|2|0|26
Brian Fitzpatrick|MIL|5.7|0|0|0|1.59|1.76|4|0|0|1|7|3|0|27
Kendry Rojas|MIN|11.3|1|0|0|1.59|1.68|11|0|0|2|10|9|1|49
Cristopher Sánchez|PHI|72.3|5|0|0|1.62|1.15|86|3|8|13|67|16|1|296
Bryce Miller|SEA|11.0|0|0|0|1.64|1.0|10|1|0|2|9|2|0|44
Tim Herrin|CLE|16.3|0|0|4|1.65|1.53|12|1|0|3|14|11|2|76
Yerry De los Santos|NYY|5.3|0|0|0|1.69|1.31|6|1|0|1|4|3|0|21
Josh Ekness|MIA|5.3|0|1|0|1.69|1.31|5|0|0|1|2|5|0|22
Gordon Graceffo|STL|26.7|3|1|3|1.69|0.9|11|2|0|5|14|10|2|100
Jakob Junis|TEX|21.0|0|3|5|1.71|0.71|9|0|0|4|10|5|2|79
Daniel Lynch IV|KCR|21.0|1|1|5|1.71|0.9|26|1|0|4|12|7|2|85
Erik Sabrowski|CLE|21.0|2|0|17|1.71|0.95|39|1|0|4|7|13|0|83
Evan Sisk|PIT|21.0|0|0|2|1.71|1.1|25|1|0|4|16|7|3|85
Austin Warren|NYM|15.7|0|0|0|1.72|1.21|16|1|0|3|12|7|0|64
Kyle Harrison|MIL|45.7|5|0|0|1.77|1.07|59|3|3|9|35|14|3|183
Huascar Brazobán|NYM|25.3|3|0|2|1.78|0.91|19|1|0|5|13|10|1|99
Grant Taylor|CHW|25.3|1|1|2|1.78|1.14|38|0|0|5|21|8|0|105
Dylan Dodd|ATL|5.0|0|1|0|1.8|1.0|6|0|0|1|4|1|0|20
Paul Gervase|LAD|5.0|0|0|0|1.8|1.4|5|0|0|1|5|2|0|21
Chase Burns|CIN|59.0|6|0|0|1.83|0.95|64|7|7|12|38|18|0|227
Matt Gage|SFG|19.3|3|1|5|1.86|1.19|13|2|0|4|12|11|0|79
Daniel Palencia|CHC|9.7|1|3|0|1.86|1.45|11|1|0|2|10|4|0|42
Chris Sale|ATL|62.0|7|0|0|1.89|0.87|72|6|9|13|40|14|5|241
Jacob Misiorowski|MIL|57.0|4|0|0|1.89|0.88|88|4|5|12|32|18|5|224
José A. Ferrer|SEA|23.7|0|3|6|1.9|1.27|22|1|0|5|27|3|3|103
Jacob Latz|TEX|23.7|1|5|2|1.9|0.59|21|1|0|5|9|5|0|86
Brenan Hanifee|DET|9.3|0|0|0|1.93|1.07|5|1|0|2|9|1|0|37
Hoby Milner|CHC|23.3|1|1|3|1.93|0.94|10|2|0|5|16|6|2|92
Tyler Alexander|TEX|23.0|1|2|4|1.96|1.26|19|1|0|5|23|6|2|97
Bryce Elder|ATL|68.7|4|0|0|1.97|0.99|60|5|8|15|47|21|2|273
Jhoan Duran|PHI|13.7|1|8|0|1.98|1.1|22|1|0|3|10|5|0|54
Zack Wheeler|PHI|31.7|3|0|0|1.99|0.88|30|1|4|7|21|7|1|120
Joe Mantiply|TOR|17.7|1|0|0|2.04|1.13|16|1|0|4|16|4|1|71
Davis Martin|CHW|61.7|7|0|0|2.04|1.02|66|3|7|14|51|12|3|241
Taylor Clarke|ARI|21.7|1|0|11|2.08|0.74|9|1|0|5|13|3|2|82
Jack Dreyer|LAD|21.7|2|0|3|2.08|0.97|24|1|0|5|15|6|1|84
Peyton Gray|TEX|13.0|0|0|1|2.08|1.23|11|0|0|3|9|7|0|56
Brent Headrick|NYY|26.0|3|0|7|2.08|1.27|29|2|0|6|24|9|0|110
Ben Brown|CHC|38.7|1|1|2|2.09|0.98|40|1|0|9|26|12|1|154
Keaton Winn|SFG|21.3|0|0|10|2.11|0.8|20|0|0|5|10|7|0|78
Chase Silseth|LAA|17.0|1|0|3|2.12|1.59|16|1|0|4|14|13|1|77
Riley Martin|CHC|8.3|0|0|0|2.16|0.84|10|1|0|2|5|2|0|31
Spencer Miles|TOR|29.0|1|0|1|2.17|1.03|29|2|0|7|22|8|0|116
Fernando Cruz|NYY|20.7|3|0|10|2.18|1.31|30|2|0|5|14|13|2|89
John King|MIA|20.7|1|1|3|2.18|0.68|17|2|0|5|7|7|2|77
Will Klein|LAD|20.3|1|1|4|2.21|1.18|21|0|0|5|18|6|1|84
Eduardo Rodriguez|ARI|60.3|4|0|0|2.24|1.19|43|4|5|15|49|23|0|247
Jake Eder|LAD|4.0|1|0|0|2.25|1.0|1|0|0|1|3|1|0|15
Julian Fernández|WSH|4.0|0|0|0|2.25|1.25|3|1|0|1|3|2|0|18
Seth Halvorsen|COL|8.0|0|0|2|2.25|1.75|8|0|0|2|6|8|0|38
Carlos Rodriguez|MIL|4.0|0|0|0|2.25|1.25|5|1|0|1|5|0|0|17
Kevin Kelly|TBR|23.7|3|2|11|2.28|0.72|17|1|0|6|13|4|1|84
Eduard Bazardo|SEA|23.3|3|0|9|2.31|1.33|22|2|0|6|22|9|1|99
Michael King|SDP|58.3|4|0|0|2.31|1.06|59|4|5|15|38|24|4|229
Gregory Soto|PIT|23.3|3|4|6|2.31|0.81|29|1|0|6|10|9|1|89
Wilber Dotel|PIT|7.7|0|0|1|2.35|1.04|6|1|0|2|5|3|0|31
Wandy Peralta|SDP|23.0|0|0|2|2.35|1.35|17|3|0|6|22|9|1|95
Jared Shuster|STL|7.7|0|0|0|2.35|1.17|2|0|0|2|6|3|0|32
Trent Thornton|CHC|7.7|2|0|0|2.35|0.78|5|1|0|2|4|2|0|28
Ty Madden|DET|11.3|0|0|0|2.38|0.79|12|1|0|3|7|2|0|43
Clay Holmes|NYM|52.7|4|0|0|2.39|1.1|45|3|4|14|40|18|1|215
Michael McGreevy|STL|56.3|3|0|0|2.4|0.99|37|7|6|15|44|12|0|217
Ranger Suarez|BOS|48.7|2|0|0|2.4|1.01|43|3|3|13|35|14|0|188
Joel Kuhnel|ATH|18.7|1|4|3|2.41|1.07|10|1|0|5|15|5|2|76
Luis Medina|ATH|18.7|1|0|2|2.41|1.18|18|1|0|5|13|9|1|79
Shane Drohan|MIL|22.3|2|1|2|2.42|1.21|22|0|0|6|19|8|0|95
José Soriano|LAA|66.3|6|0|0|2.44|1.07|74|5|6|18|44|27|1|265
Zach Eflin|BAL|3.7|0|0|0|2.45|1.64|7|1|0|1|4|2|0|17
Cade Horton|CHC|7.3|1|0|0|2.45|0.82|4|1|1|2|4|2|0|26
Parker Messick|CLE|58.7|5|0|0|2.45|1.02|64|6|4|16|43|17|1|226
Orlando Ribalta|WSH|11.0|0|1|1|2.45|1.09|9|0|0|3|8|4|0|45
Payton Tolle|BOS|36.7|2|0|0|2.45|0.82|39|3|4|10|21|9|1|140
Casey Mize|DET|43.7|2|0|0|2.47|0.98|43|2|5|12|32|11|1|171
Richard Lovelady|WSH|21.7|2|3|3|2.49|1.62|20|2|0|6|21|14|1|97
Sam Bachman|LAA|25.0|0|0|9|2.52|0.96|25|2|0|7|14|10|1|97
Bryan Baker|TBR|21.3|1|14|1|2.53|1.03|25|1|0|6|13|9|0|86
Ryan Helsley|BAL|10.7|0|7|0|2.53|1.31|15|0|0|3|7|7|0|46
Caleb Kilian|SFG|21.3|1|2|3|2.53|1.13|22|3|0|6|12|12|1|88
Cade Smith|CLE|24.7|2|17|0|2.55|1.09|36|1|0|7|22|5|0|99
Orion Kerkering|PHI|17.3|2|1|1|2.6|1.21|14|2|0|5|14|7|1|75
Aaron Ashby|MIL|31.0|8|0|1|2.61|1.42|46|1|0|9|27|17|1|134
Coleman Crow|MIL|10.3|0|0|0|2.61|0.77|7|0|0|3|7|1|1|40
Juan Morillo|ARI|20.7|1|1|8|2.61|0.97|23|1|0|6|13|7|2|85
Kai-Wei Teng|HOU|31.0|2|0|3|2.61|1.1|30|3|0|9|22|12|2|125
Paul Skenes|PIT|55.0|6|0|0|2.62|0.71|63|5|5|16|31|8|4|208
