name|stuff_plus|location_plus|pitching_plus
Cameron Schlittler|111|110|114
Sandy Alcantara|99|105|105
Kevin Gausman|107|122|125
Cristopher Sanchez|114|97|110
Hunter Brown|101|109|114
Max Fried|105|108|114
Tarik Skubal|112|117|131
Taj Bradley|117|92|106
Lance McCullers Jr.|99|103|100
Dylan Cease|109|100|108
Bryan Woo|106|114|117
Joe Ryan|107|106|111
Jose Soriano|108|105|115
Trevor Rogers|100|98|97
Seth Lugo|87|111|101
Michael Soroka|92|116|104
Emerson Hancock|98|111|104
Parker Messick|96|111|113
Andrew Painter|103|117|117
Jhoan Duran|117|96|113
Garrett Crochet|108|98|101
Nick Pivetta|102|98|101
Matthew Boyd|93|119|110
Michael Wacha|101|108|100
Luis Castillo|101|123|126
Pete Fairbanks|119|105|119
Tyler Glasnow|102|111|117
Joe Boyle|101|101|105
Kodai Senga|99|91|96
Carmen Mlodzinski|92|121|110
David Peterson|85|100|91
Reid Detmers|111|124|129
Logan Gilbert|106|112|114
Yohan Ramirez|104|91|94
Rico Garcia|106|130|135
Riley O'Brien|109|113|118
Edward Cabrera|93|105|100
Randy Vasquez|97|97|92
Bryce Elder|86|110|98
Landen Roupp|100|109|111
Chase Burns|109|85|96
Noah Cameron|86|130|122
Jeff Hoffman|114|98|105
Gavin Williams|104|93|97
Eric Lauer|89|107|90
Logan Webb|96|100|100
Brooks Raley|113|106|112
Antonio Senzatela|104|114|114
Jimmy Herget|102|118|115
Mitch Keller|100|109|110
Ryan Helsley|108|124|134
Michael McGreevy|75|104|84
Framber Valdez|113|110|121
Connelly Early|97|103|102
Ryan Weathers|99|118|114
Graham Ashcraft|120|95|107
Kyle Freeland|96|98|92
Andrew Abbott|92|103|96
Janson Junk|108|97|103
Tyler Mahle|91|128|118
Erick Fedde|89|112|103
Max Meyer|93|106|103
Luis Severino|106|80|87
Sean Burke|91|114|105
Shane Baz|107|93|101
Mason Fluharty|115|112|122
Chris Sale|110|110|113
Brennan Bernardino|100|120|112
Dennis Santana|90|91|77
Shohei Ohtani|101|91|90
Calvin Faucher|107|114|116
Michael Petersen|124|110|127
Jake Bird|105|101|104
Cole Winn|89|94|87
Ryan Zeferjahn|111|101|115
Edgardo Henriquez|126|88|128
A.J. Blubaugh|112|105|114
Brad Lord|96|106|97
Jacob Misiorowski|112|91|103
Jack Leiter|101|92|95
Yoshinobu Yamamoto|98|105|101
MacKenzie Gore|102|100|102
Freddy Peralta|99|119|118
Paul Skenes|100|103|103
Huascar Brazoban|100|121|118
Martin Perez|86|118|108
Fernando Cruz|90|91|88
Aroldis Chapman|105|117|123
Blake Treinen|106|116|120
Eduardo Rodriguez|90|111|99
Taylor Rogers|101|128|123
Steven Okert|119|110|115
Jakob Junis|95|134|122
Matt Strahm|111|93|96
Paul Sewald|106|122|119
Brent Suter|104|97|96
Wandy Peralta|107|99|115
Sam Moll|110|93|102
Scott Barlow|92|117|102
Hunter Harvey|100|120|117
Tyler Rogers|134|103|124
Devin Williams|96|104|103
Aaron Bummer|112|88|87
Tim Hill|126|123|141
Jalen Beeks|98|121|117
JT Brubaker|94|109|104
JoJo Romero|109|119|124
Gregory Soto|114|95|98
Connor Seabold|106|130|119
Jonathan Loaisiga|107|116|127
Bryan Baker|117|125|136
Michael King|91|75|69
Dylan Lee|110|116|121
Garrett Whitlock|94|103|94
Grant Anderson|95|114|103
Jacob Latz|95|119|117
Ryan Feltner|98|97|94
Angel Zerpa|103|111|111
Keaton Winn|111|119|132
Jose A. Ferrer|121|100|118
Braydon Fisher|101|123|122
Erik Sabrowski|111|95|106
Alex Vesia|116|112|121
Nick Mears|98|129|123
Kevin Kelly|102|111|109
Casey Legumina|116|79|90
Andrew Nardi|117|103|116
Caleb Kilian|107|96|99
Cole Wilcox|96|114|102
Jared Koenig|111|120|124
Louie Varland|108|104|113
Brent Headrick|106|95|101
J.T. Ginn|97|97|93
Bradgley Rodriguez|112|118|129
Chase Silseth|101|109|108
Robert Suarez|105|102|107
Jack Dreyer|99|131|134
Mason Miller|124|97|116
Casey Mize|92|95|88
Adrian Houser|98|118|117
Drew Rasmussen|104|111|109
Kyle Harrison|109|122|122
Will Warren|115|103|114
Didier Fuentes|99|99|100
Roki Sasaki|92|74|76
Justin Topa|97|106|104
Adrian Morejon|125|81|111
Bryan King|100|111|105
Dietrich Enns|98|86|82
Cade Cavalli|100|85|90
Nick Martinez|96|106|103
Braxton Ashcraft|97|88|85
Jeffrey Springs|94|102|98
Tanner Banks|115|109|112
Justin Sterner|94|111|105
Jaden Hill|98|97|100
Cody Ponce|94|87|83
Shane McClanahan|106|81|90
Trevor Megill|113|99|109
Joey Cantillo|99|75|71
Sean Newcomb|111|115|120
Yennier Cano|105|114|134
Jacob deGrom|114|125|136
Matt Festa|95|92|83
Camilo Doval|95|102|95
Yusei Kikuchi|97|112|113
Brandon Pfaadt|93|110|105
Gabe Speier|113|94|98
Grant Wolfram|109|126|128
Zach Agnos|98|113|107
Kyle Hart|107|110|119
Jonathan Bowlan|107|115|122
Jose Suarez|95|88|87
Tyler Wells|94|110|112
Dustin May|95|92|90
Jeremiah Estrada|110|85|100
Ian Seymour|113|99|101
Aaron Ashby|112|79|97
Anthony Banda|93|64|63
Brock Burke|100|99|106
Anthony Bender|113|91|105
Matt Brash|90|120|115
Andre Pallante|96|92|89
Gordon Graceffo|92|126|126
Andrew Hoffmann|88|108|97
Max Scherzer|95|106|103
Kris Bubic|92|95|90
Osvaldo Bido|103|88|86
Ryne Stanek|109|83|96
Will Klein|94|115|110
Cade Horton|100|127|122
Jake Woodford|98|115|103
Clay Holmes|99|105|102
Robbie Ray|106|102|103
Brandon Woodruff|98|98|94
Foster Griffin|104|102|106
Zac Gallen|90|114|104
Aaron Civale|93|103|88
George Kirby|95|114|110
Connor Phillips|115|77|91
Davis Martin|84|102|90
Mike Burrows|97|94|94
Steven Matz|99|101|95
Chris Martin|102|103|101
Enmanuel De Jesus|93|95|93
Caleb Thielbar|125|86|109
Jameson Taillon|92|92|87
Lucas Sims|97|80|79
Kyle Finnegan|103|76|82
Tim Mayza|101|111|116
Jordan Romano|97|79|77
Ryan Thompson|121|82|92
Luke Weaver|93|87|88
Raisel Iglesias|96|114|101
Matt Gage|93|98|97
Dylan Moore|16|61|-13
Tyler Kinley|104|100|101
Lucas Erceg|99|93|92
Tony Santillan|92|68|63
Tyler Phillips|102|99|103
Hogan Harris|100|75|75
Luis Medina|106|84|90
George Soriano|98|108|105
John King|93|93|72
DL Hall|97|102|97
Robert Garcia|114|80|95
Gus Varland|102|117|124
Tim Herrin|99|113|102
Abner Uribe|107|94|96
Justin Slaten|102|86|95
Tyler Holton|100|42|52
Erik Miller|117|97|110
Jose Franco|91|102|88
Cole Henry|91|73|77
Eric Orze|83|100|94
Daniel Palencia|100|104|109
Walbert Urena|110|98|114
Sam Bachman|99|83|89
Bubba Chandler|96|79|79
Ben Casparius|92|119|121
David Morgan|100|112|112
Blade Tidwell|115|95|107
Tobias Myers|99|100|101
Tomoyuki Sugano|75|118|100
Chad Patrick|95|116|113
Tyler Alexander|88|85|77
Jovani Moran|95|84|86
Anthony Nunez|113|99|111
Zach Eflin|93|108|98
Peyton Pallette|94|104|97
David Bednar|104|100|97
Ben Brown|108|97|100
Shawn Armstrong|101|105|99
Edwin Diaz|106|91|94
Lake Bachar|96|84|91
Shaun Anderson|79|85|75
Cody Bolton|110|119|121
Ryan Weiss|111|112|123
Clayton Beeter|100|92|93
Mark Leiter Jr.|89|109|99
Tanner Scott|122|120|133
Kolby Allard|87|101|85
Simeon Woods Richardson|80|95|77
Nolan McLean|94|107|112
Rhett Lowder|81|116|102
Eury Perez|117|100|113
Kyle Bradish|94|97|99
Tommy Nance|111|70|76
Eduard Bazardo|97|85|74
Jose Quintana|83|83|70
Jack Flaherty|103|86|90
Daniel Lynch IV|99|78|73
Ron Marinaccio|92|116|110
Grant Taylor|105|105|114
Isaac Mattson|97|94|84
Ryan Watson|98|85|85
Kody Funderburk|98|86|81
Grant Holmes|91|96|91
Juan Mejia|98|105|100
Jordan Leasure|104|117|113
Cole Sands|93|106|99
Colin Rea|94|102|99
Zach Pop|106|92|97
Michael Lorenzen|94|95|86
Sonny Gray|101|96|99
Bailey Ober|90|92|88
Jacob Lopez|80|91|86
Brady Singer|92|74|66
Justin Wrobleski|94|103|99
Paul Blackburn|87|92|88
Kyle Leahy|91|112|106
Shota Imanaga|99|99|98
Bryan Hudson|98|69|74
Drew Pomeranz|107|87|96
Chris Bassitt|93|78|69
Luis Garcia|99|94|93
Joey Lucchesi|98|75|73
Elvis Alvarado|101|94|97
Emmet Sheehan|85|106|91
Jack Kochanowicz|99|88|91
Taijuan Walker|84|101|87
Chris Murphy|103|97|101
Mick Abel|118|94|109
Alex Lange|97|95|96
Tatsuya Imai|90|100|97
Will Vest|94|104|99
Jose Alvarado|123|61|94
Kevin Ginkel|85|101|94
Matt Svanson|94|90|85
Cody Laweryson|100|74|76
Matthew Pushard|88|77|67
Reynaldo Lopez|84|100|87
Kai-Wei Teng|100|91|95
Jake Irvin|110|104|111
Connor Brogdon|98|128|123
Garrett Cleavinger|102|77|76
Cade Smith|118|94|111
Jose Urquidy|96|120|119
Jacob Webb|91|90|89
Matthew Liberatore|102|99|99
Sean Manaea|98|81|82
Yoendrys Gomez|105|96|100
Albert Suarez|85|90|77
Cooper Criswell|91|127|113
Brant Hurter|117|77|90
PJ Poulin|90|89|77
Cole Ragans|103|93|97
Anthony Kay|103|98|102
Carter Baumler|100|64|66
Ryan Borucki|107|111|114
Tanner Bibee|98|111|108
Aaron Nola|116|97|106
Justin Bruihl|97|89|92
Ken Waldichuk|99|93|94
Danny Coulombe|94|78|80
John Schreiber|94|94|92
Colin Holderman|103|80|79
Ryan Walker|100|100|103
Walker Buehler|89|90|85
Kenley Jansen|112|114|120
Cionel Perez|112|108|122
Roddery Munoz|85|74|63
Christian Roa|98|87|86
Miles Mikolas|89|123|111
